REC;Hotel 1;50 vagas;R$ 700;3 estrelas
SAO;Hotel 1;40 vagas;R$ 700;2 estrelas
BSB;Hotel 2;20 vagas;R$ 700;3 estrelas
BSB;Hotel 5;10 vagas;R$ 500;5 estrelas
GOI;Hotel 1;50 vagas;R$ 800;3 estrelas
SAO;Hotel 1;30 vagas;R$ 700;1 estrela
PMW;Hotel 3;40 vagas;R$ 700;4 estrelas
REC;Hotel 1;40 vagas;R$ 1000;1 estrela
RIO;Hotel 5;10 vagas;R$ 800;3 estrelas
GOI;Hotel 2;40 vagas;R$ 1000;2 estrelas
POA;Hotel 4;20 vagas;R$ 800;4 estrelas
PMW;Hotel 4;10 vagas;R$ 500;5 estrelas
FLN;Hotel 2;30 vagas;R$ 700;2 estrelas
PMW;Hotel 5;20 vagas;R$ 700;3 estrelas
BHZ;Hotel 1;40 vagas;R$ 700;2 estrelas
SAO;Hotel 4;50 vagas;R$ 700;3 estrelas
RIO;Hotel 5;50 vagas;R$ 800;5 estrelas
BSB;Hotel 4;20 vagas;R$ 500;2 estrelas
BHZ;Hotel 4;10 vagas;R$ 800;1 estrela
BHZ;Hotel 5;10 vagas;R$ 1000;3 estrelas
PMW;Hotel 3;20 vagas;R$ 500;2 estrelas
REC;Hotel 3;40 vagas;R$ 1000;1 estrela
POA;Hotel 2;50 vagas;R$ 1000;4 estrelas
POA;Hotel 2;10 vagas;R$ 800;3 estrelas
FLN;Hotel 3;20 vagas;R$ 1000;2 estrelas
BHZ;Hotel 2;10 vagas;R$ 500;2 estrelas
GOI;Hotel 1;40 vagas;R$ 800;1 estrela
REC;Hotel 1;20 vagas;R$ 800;1 estrela
POA;Hotel 2;30 vagas;R$ 500;2 estrelas
POA;Hotel 2;50 vagas;R$ 800;4 estrelas
GOI;Hotel 2;20 vagas;R$ 1000;3 estrelas
POA;Hotel 3;20 vagas;R$ 600;4 estrelas
BHZ;Hotel 4;50 vagas;R$ 700;4 estrelas
BHZ;Hotel 4;40 vagas;R$ 800;5 estrelas
POA;Hotel 1;40 vagas;R$ 700;1 estrela
RIO;Hotel 1;10 vagas;R$ 1000;2 estrelas
FLN;Hotel 1;50 vagas;R$ 1000;4 estrelas
CUR;Hotel 3;10 vagas;R$ 500;4 estrelas
FLN;Hotel 1;50 vagas;R$ 500;4 estrelas
CUR;Hotel 3;20 vagas;R$ 500;1 estrela
CUR;Hotel 4;20 vagas;R$ 1000;3 estrelas
POA;Hotel 3;10 vagas;R$ 500;3 estrelas
GOI;Hotel 4;20 vagas;R$ 600;2 estrelas
RIO;Hotel 4;20 vagas;R$ 500;2 estrelas
PMW;Hotel 1;30 vagas;R$ 700;1 estrela
PMW;Hotel 2;20 vagas;R$ 600;5 estrelas
RIO;Hotel 2;30 vagas;R$ 700;5 estrelas
FLN;Hotel 4;40 vagas;R$ 600;5 estrelas
SAO;Hotel 4;30 vagas;R$ 600;3 estrelas
GOI;Hotel 4;30 vagas;R$ 600;1 estrela
SAO;Hotel 5;30 vagas;R$ 700;1 estrela
REC;Hotel 1;50 vagas;R$ 600;4 estrelas
GOI;Hotel 2;50 vagas;R$ 500;5 estrelas
PMW;Hotel 2;10 vagas;R$ 600;4 estrelas
BHZ;Hotel 3;20 vagas;R$ 500;5 estrelas
FLN;Hotel 1;10 vagas;R$ 500;3 estrelas
SAO;Hotel 1;50 vagas;R$ 700;5 estrelas
PMW;Hotel 1;30 vagas;R$ 700;3 estrelas
SAO;Hotel 2;50 vagas;R$ 1000;5 estrelas
PMW;Hotel 4;30 vagas;R$ 500;2 estrelas
CUR;Hotel 2;10 vagas;R$ 700;3 estrelas
BHZ;Hotel 2;50 vagas;R$ 700;5 estrelas
BHZ;Hotel 4;20 vagas;R$ 1000;3 estrelas
CUR;Hotel 5;40 vagas;R$ 600;3 estrelas
SAO;Hotel 1;50 vagas;R$ 800;4 estrelas
POA;Hotel 3;50 vagas;R$ 600;2 estrelas
BHZ;Hotel 1;10 vagas;R$ 800;5 estrelas
POA;Hotel 3;10 vagas;R$ 700;3 estrelas
BHZ;Hotel 3;30 vagas;R$ 500;1 estrela
CUR;Hotel 4;40 vagas;R$ 800;4 estrelas
GOI;Hotel 4;50 vagas;R$ 700;3 estrelas
POA;Hotel 4;30 vagas;R$ 700;3 estrelas
SAO;Hotel 1;10 vagas;R$ 500;2 estrelas
RIO;Hotel 2;20 vagas;R$ 700;1 estrela
CUR;Hotel 4;20 vagas;R$ 1000;5 estrelas
BSB;Hotel 1;50 vagas;R$ 500;1 estrela
PMW;Hotel 4;10 vagas;R$ 500;2 estrelas
SAO;Hotel 3;30 vagas;R$ 700;3 estrelas
RIO;Hotel 3;40 vagas;R$ 800;1 estrela
BSB;Hotel 4;50 vagas;R$ 800;5 estrelas
SAO;Hotel 4;10 vagas;R$ 500;3 estrelas
FLN;Hotel 3;50 vagas;R$ 700;1 estrela
PMW;Hotel 1;50 vagas;R$ 700;1 estrela
SAO;Hotel 5;50 vagas;R$ 500;3 estrelas
RIO;Hotel 4;50 vagas;R$ 800;3 estrelas
BSB;Hotel 5;40 vagas;R$ 1000;1 estrela
RIO;Hotel 3;30 vagas;R$ 500;4 estrelas
CUR;Hotel 5;10 vagas;R$ 800;2 estrelas
REC;Hotel 2;10 vagas;R$ 700;4 estrelas
BHZ;Hotel 2;20 vagas;R$ 700;2 estrelas
FLN;Hotel 5;10 vagas;R$ 700;2 estrelas
CUR;Hotel 2;50 vagas;R$ 500;3 estrelas
SAO;Hotel 3;40 vagas;R$ 1000;5 estrelas
REC;Hotel 1;20 vagas;R$ 600;1 estrela
POA;Hotel 4;10 vagas;R$ 700;5 estrelas
BHZ;Hotel 3;30 vagas;R$ 1000;1 estrela
PMW;Hotel 3;20 vagas;R$ 1000;2 estrelas
REC;Hotel 3;10 vagas;R$ 500;2 estrelas
SAO;Hotel 4;50 vagas;R$ 800;4 estrelas
BHZ;Hotel 5;20 vagas;R$ 800;4 estrelas
SAO;Hotel 5;50 vagas;R$ 700;5 estrelas
REC;Hotel 3;50 vagas;R$ 1000;5 estrelas
PMW;Hotel 3;30 vagas;R$ 500;2 estrelas
BHZ;Hotel 3;10 vagas;R$ 600;1 estrela
CUR;Hotel 5;20 vagas;R$ 600;3 estrelas
BSB;Hotel 2;50 vagas;R$ 800;3 estrelas
SAO;Hotel 2;40 vagas;R$ 800;2 estrelas
REC;Hotel 1;40 vagas;R$ 500;4 estrelas
CUR;Hotel 4;40 vagas;R$ 500;4 estrelas
RIO;Hotel 3;50 vagas;R$ 800;1 estrela
REC;Hotel 1;10 vagas;R$ 800;4 estrelas
POA;Hotel 4;40 vagas;R$ 500;5 estrelas
REC;Hotel 3;50 vagas;R$ 1000;3 estrelas
SAO;Hotel 5;50 vagas;R$ 1000;2 estrelas
CUR;Hotel 2;50 vagas;R$ 1000;1 estrela
CUR;Hotel 3;40 vagas;R$ 800;4 estrelas
GOI;Hotel 4;40 vagas;R$ 1000;2 estrelas
PMW;Hotel 5;50 vagas;R$ 700;3 estrelas
GOI;Hotel 1;10 vagas;R$ 700;5 estrelas
CUR;Hotel 1;50 vagas;R$ 800;3 estrelas
POA;Hotel 1;30 vagas;R$ 700;1 estrela
SAO;Hotel 2;30 vagas;R$ 500;3 estrelas
RIO;Hotel 3;40 vagas;R$ 700;4 estrelas
CUR;Hotel 2;30 vagas;R$ 600;4 estrelas
REC;Hotel 4;30 vagas;R$ 700;4 estrelas
REC;Hotel 3;30 vagas;R$ 1000;1 estrela
FLN;Hotel 5;20 vagas;R$ 700;4 estrelas
POA;Hotel 4;30 vagas;R$ 600;4 estrelas
BSB;Hotel 1;50 vagas;R$ 600;3 estrelas
SAO;Hotel 4;30 vagas;R$ 600;5 estrelas
SAO;Hotel 2;10 vagas;R$ 800;2 estrelas
BSB;Hotel 4;10 vagas;R$ 700;4 estrelas
FLN;Hotel 3;50 vagas;R$ 1000;2 estrelas
BHZ;Hotel 4;50 vagas;R$ 700;1 estrela
PMW;Hotel 1;20 vagas;R$ 1000;5 estrelas
FLN;Hotel 5;20 vagas;R$ 700;5 estrelas
BHZ;Hotel 4;40 vagas;R$ 500;1 estrela
CUR;Hotel 2;50 vagas;R$ 500;5 estrelas
RIO;Hotel 3;50 vagas;R$ 700;1 estrela
REC;Hotel 1;40 vagas;R$ 500;3 estrelas
PMW;Hotel 5;30 vagas;R$ 800;3 estrelas
BHZ;Hotel 3;50 vagas;R$ 1000;5 estrelas
GOI;Hotel 2;10 vagas;R$ 1000;3 estrelas
CUR;Hotel 4;30 vagas;R$ 500;1 estrela
REC;Hotel 2;40 vagas;R$ 500;2 estrelas
SAO;Hotel 3;30 vagas;R$ 600;3 estrelas
FLN;Hotel 2;40 vagas;R$ 700;3 estrelas
REC;Hotel 2;30 vagas;R$ 700;5 estrelas
PMW;Hotel 2;30 vagas;R$ 600;1 estrela
BSB;Hotel 1;20 vagas;R$ 800;1 estrela
FLN;Hotel 2;20 vagas;R$ 800;5 estrelas
BSB;Hotel 4;10 vagas;R$ 700;2 estrelas
POA;Hotel 4;40 vagas;R$ 600;5 estrelas
POA;Hotel 3;40 vagas;R$ 700;3 estrelas
BHZ;Hotel 4;10 vagas;R$ 700;5 estrelas
REC;Hotel 5;10 vagas;R$ 600;1 estrela
PMW;Hotel 2;20 vagas;R$ 600;4 estrelas
CUR;Hotel 2;10 vagas;R$ 800;3 estrelas
BSB;Hotel 5;20 vagas;R$ 500;4 estrelas
REC;Hotel 1;30 vagas;R$ 500;3 estrelas
FLN;Hotel 2;50 vagas;R$ 800;5 estrelas
PMW;Hotel 3;30 vagas;R$ 700;1 estrela
BSB;Hotel 2;20 vagas;R$ 800;3 estrelas
FLN;Hotel 3;30 vagas;R$ 600;1 estrela
FLN;Hotel 3;50 vagas;R$ 700;5 estrelas
REC;Hotel 5;20 vagas;R$ 1000;5 estrelas
PMW;Hotel 5;40 vagas;R$ 1000;1 estrela
GOI;Hotel 3;30 vagas;R$ 600;1 estrela
CUR;Hotel 1;20 vagas;R$ 1000;4 estrelas
REC;Hotel 1;20 vagas;R$ 500;5 estrelas
RIO;Hotel 4;20 vagas;R$ 600;3 estrelas
PMW;Hotel 2;10 vagas;R$ 1000;2 estrelas
FLN;Hotel 5;30 vagas;R$ 500;5 estrelas
RIO;Hotel 3;30 vagas;R$ 600;5 estrelas
PMW;Hotel 2;20 vagas;R$ 500;3 estrelas
RIO;Hotel 2;50 vagas;R$ 600;1 estrela
REC;Hotel 5;50 vagas;R$ 700;5 estrelas
GOI;Hotel 3;20 vagas;R$ 1000;2 estrelas
BSB;Hotel 3;10 vagas;R$ 700;3 estrelas
PMW;Hotel 1;40 vagas;R$ 700;1 estrela
SAO;Hotel 4;50 vagas;R$ 800;2 estrelas
BHZ;Hotel 3;10 vagas;R$ 800;4 estrelas
RIO;Hotel 2;10 vagas;R$ 600;5 estrelas
POA;Hotel 4;30 vagas;R$ 700;3 estrelas
BHZ;Hotel 2;30 vagas;R$ 600;1 estrela
PMW;Hotel 1;30 vagas;R$ 500;2 estrelas
CUR;Hotel 1;30 vagas;R$ 700;2 estrelas
RIO;Hotel 4;20 vagas;R$ 600;3 estrelas
SAO;Hotel 3;30 vagas;R$ 500;5 estrelas
PMW;Hotel 1;30 vagas;R$ 700;1 estrela
REC;Hotel 1;20 vagas;R$ 800;1 estrela
BHZ;Hotel 3;10 vagas;R$ 1000;4 estrelas
REC;Hotel 1;30 vagas;R$ 1000;1 estrela
BSB;Hotel 3;30 vagas;R$ 800;1 estrela
BSB;Hotel 1;40 vagas;R$ 1000;2 estrelas
SAO;Hotel 2;30 vagas;R$ 500;1 estrela
FLN;Hotel 4;10 vagas;R$ 1000;1 estrela
POA;Hotel 4;30 vagas;R$ 800;4 estrelas
GOI;Hotel 5;20 vagas;R$ 1000;5 estrelas
POA;Hotel 5;50 vagas;R$ 500;1 estrela
PMW;Hotel 2;30 vagas;R$ 1000;1 estrela
BSB;Hotel 2;10 vagas;R$ 1000;4 estrelas
FLN;Hotel 4;40 vagas;R$ 700;1 estrela
RIO;Hotel 2;30 vagas;R$ 600;5 estrelas
SAO;Hotel 5;50 vagas;R$ 700;1 estrela
CUR;Hotel 1;20 vagas;R$ 1000;4 estrelas
FLN;Hotel 1;50 vagas;R$ 800;5 estrelas
POA;Hotel 3;20 vagas;R$ 500;5 estrelas
SAO;Hotel 3;10 vagas;R$ 700;1 estrela
CUR;Hotel 3;20 vagas;R$ 800;4 estrelas
POA;Hotel 1;50 vagas;R$ 800;1 estrela
CUR;Hotel 3;20 vagas;R$ 500;3 estrelas
BSB;Hotel 4;20 vagas;R$ 800;2 estrelas
BHZ;Hotel 5;10 vagas;R$ 500;1 estrela
POA;Hotel 4;30 vagas;R$ 700;1 estrela
GOI;Hotel 4;20 vagas;R$ 800;2 estrelas
POA;Hotel 4;30 vagas;R$ 1000;3 estrelas
FLN;Hotel 2;30 vagas;R$ 500;4 estrelas
POA;Hotel 5;10 vagas;R$ 600;4 estrelas
BSB;Hotel 4;20 vagas;R$ 800;2 estrelas
GOI;Hotel 1;40 vagas;R$ 800;2 estrelas
REC;Hotel 4;20 vagas;R$ 700;4 estrelas
BSB;Hotel 5;20 vagas;R$ 700;2 estrelas
POA;Hotel 1;50 vagas;R$ 600;2 estrelas
FLN;Hotel 4;50 vagas;R$ 600;3 estrelas
REC;Hotel 3;50 vagas;R$ 1000;1 estrela
REC;Hotel 5;50 vagas;R$ 1000;3 estrelas
BHZ;Hotel 5;40 vagas;R$ 700;2 estrelas
BHZ;Hotel 5;10 vagas;R$ 700;4 estrelas
FLN;Hotel 2;10 vagas;R$ 700;4 estrelas
FLN;Hotel 5;50 vagas;R$ 700;3 estrelas
PMW;Hotel 1;10 vagas;R$ 800;3 estrelas
FLN;Hotel 5;40 vagas;R$ 600;2 estrelas
FLN;Hotel 1;40 vagas;R$ 500;5 estrelas
REC;Hotel 1;50 vagas;R$ 600;5 estrelas
SAO;Hotel 2;50 vagas;R$ 500;4 estrelas
GOI;Hotel 5;40 vagas;R$ 500;4 estrelas
FLN;Hotel 2;40 vagas;R$ 500;2 estrelas
RIO;Hotel 1;50 vagas;R$ 700;3 estrelas
FLN;Hotel 4;40 vagas;R$ 600;4 estrelas
GOI;Hotel 3;10 vagas;R$ 600;1 estrela
REC;Hotel 5;10 vagas;R$ 700;3 estrelas
REC;Hotel 5;10 vagas;R$ 600;3 estrelas
RIO;Hotel 1;50 vagas;R$ 800;1 estrela
REC;Hotel 1;40 vagas;R$ 1000;4 estrelas
BSB;Hotel 2;30 vagas;R$ 1000;2 estrelas
PMW;Hotel 1;30 vagas;R$ 800;2 estrelas
POA;Hotel 4;10 vagas;R$ 1000;5 estrelas
CUR;Hotel 5;20 vagas;R$ 600;1 estrela
RIO;Hotel 4;40 vagas;R$ 1000;4 estrelas
PMW;Hotel 4;50 vagas;R$ 800;3 estrelas
BSB;Hotel 1;10 vagas;R$ 700;2 estrelas
BSB;Hotel 4;40 vagas;R$ 1000;1 estrela
SAO;Hotel 5;30 vagas;R$ 500;4 estrelas
BHZ;Hotel 4;20 vagas;R$ 1000;2 estrelas
POA;Hotel 2;10 vagas;R$ 1000;4 estrelas
PMW;Hotel 5;50 vagas;R$ 1000;3 estrelas
FLN;Hotel 3;20 vagas;R$ 800;5 estrelas
PMW;Hotel 3;10 vagas;R$ 1000;3 estrelas
GOI;Hotel 3;10 vagas;R$ 500;2 estrelas
BHZ;Hotel 2;10 vagas;R$ 600;1 estrela
CUR;Hotel 1;20 vagas;R$ 600;5 estrelas
RIO;Hotel 5;20 vagas;R$ 500;1 estrela
SAO;Hotel 4;10 vagas;R$ 800;3 estrelas
SAO;Hotel 4;20 vagas;R$ 800;3 estrelas
GOI;Hotel 2;10 vagas;R$ 600;2 estrelas
BSB;Hotel 1;40 vagas;R$ 500;3 estrelas
BHZ;Hotel 3;30 vagas;R$ 700;3 estrelas
BSB;Hotel 4;40 vagas;R$ 600;1 estrela
BSB;Hotel 4;50 vagas;R$ 600;2 estrelas
POA;Hotel 3;40 vagas;R$ 700;1 estrela
PMW;Hotel 2;20 vagas;R$ 1000;3 estrelas
PMW;Hotel 4;10 vagas;R$ 500;4 estrelas
CUR;Hotel 4;30 vagas;R$ 600;4 estrelas
POA;Hotel 3;20 vagas;R$ 500;2 estrelas
SAO;Hotel 1;40 vagas;R$ 500;5 estrelas
RIO;Hotel 2;50 vagas;R$ 800;5 estrelas
POA;Hotel 2;50 vagas;R$ 1000;2 estrelas
POA;Hotel 2;40 vagas;R$ 500;1 estrela
FLN;Hotel 3;40 vagas;R$ 800;5 estrelas
FLN;Hotel 2;30 vagas;R$ 600;4 estrelas
SAO;Hotel 4;40 vagas;R$ 600;4 estrelas
BSB;Hotel 5;40 vagas;R$ 500;2 estrelas
FLN;Hotel 1;10 vagas;R$ 800;4 estrelas
BSB;Hotel 3;30 vagas;R$ 700;5 estrelas
CUR;Hotel 1;50 vagas;R$ 600;3 estrelas
GOI;Hotel 3;50 vagas;R$ 800;3 estrelas
RIO;Hotel 2;20 vagas;R$ 700;2 estrelas
PMW;Hotel 2;20 vagas;R$ 700;4 estrelas
POA;Hotel 1;20 vagas;R$ 1000;3 estrelas
BHZ;Hotel 4;30 vagas;R$ 500;1 estrela
BHZ;Hotel 3;20 vagas;R$ 800;3 estrelas
GOI;Hotel 4;40 vagas;R$ 1000;1 estrela
SAO;Hotel 2;10 vagas;R$ 600;3 estrelas
RIO;Hotel 5;20 vagas;R$ 800;5 estrelas
CUR;Hotel 2;40 vagas;R$ 600;4 estrelas
RIO;Hotel 5;50 vagas;R$ 500;3 estrelas
GOI;Hotel 1;10 vagas;R$ 500;2 estrelas
REC;Hotel 5;20 vagas;R$ 700;3 estrelas
REC;Hotel 5;50 vagas;R$ 600;1 estrela
BSB;Hotel 2;50 vagas;R$ 600;5 estrelas
BHZ;Hotel 3;30 vagas;R$ 500;4 estrelas
RIO;Hotel 3;30 vagas;R$ 600;2 estrelas
PMW;Hotel 4;40 vagas;R$ 600;4 estrelas
GOI;Hotel 1;30 vagas;R$ 800;2 estrelas
BSB;Hotel 1;10 vagas;R$ 600;5 estrelas
POA;Hotel 3;20 vagas;R$ 500;1 estrela
FLN;Hotel 4;20 vagas;R$ 500;3 estrelas
BSB;Hotel 5;40 vagas;R$ 800;1 estrela
REC;Hotel 1;20 vagas;R$ 700;1 estrela
BHZ;Hotel 5;50 vagas;R$ 500;4 estrelas
BSB;Hotel 3;50 vagas;R$ 1000;5 estrelas
REC;Hotel 1;10 vagas;R$ 700;3 estrelas
GOI;Hotel 1;50 vagas;R$ 700;5 estrelas
FLN;Hotel 3;30 vagas;R$ 500;5 estrelas
REC;Hotel 1;50 vagas;R$ 600;1 estrela
REC;Hotel 5;40 vagas;R$ 700;5 estrelas
BSB;Hotel 1;10 vagas;R$ 600;3 estrelas
BHZ;Hotel 1;40 vagas;R$ 800;5 estrelas
GOI;Hotel 2;10 vagas;R$ 800;5 estrelas
RIO;Hotel 2;30 vagas;R$ 500;4 estrelas
FLN;Hotel 4;50 vagas;R$ 1000;3 estrelas
FLN;Hotel 3;40 vagas;R$ 1000;3 estrelas
PMW;Hotel 4;50 vagas;R$ 1000;3 estrelas
RIO;Hotel 1;40 vagas;R$ 700;5 estrelas
FLN;Hotel 3;30 vagas;R$ 1000;4 estrelas
BHZ;Hotel 3;20 vagas;R$ 600;3 estrelas
BHZ;Hotel 5;30 vagas;R$ 700;2 estrelas
BSB;Hotel 4;40 vagas;R$ 800;4 estrelas
RIO;Hotel 1;20 vagas;R$ 700;2 estrelas
SAO;Hotel 5;40 vagas;R$ 800;5 estrelas
PMW;Hotel 1;50 vagas;R$ 1000;2 estrelas
GOI;Hotel 4;20 vagas;R$ 600;5 estrelas
FLN;Hotel 2;30 vagas;R$ 500;3 estrelas
REC;Hotel 1;50 vagas;R$ 500;1 estrela
CUR;Hotel 4;50 vagas;R$ 700;1 estrela
CUR;Hotel 5;40 vagas;R$ 800;3 estrelas
BSB;Hotel 4;10 vagas;R$ 600;3 estrelas
POA;Hotel 3;40 vagas;R$ 800;3 estrelas
BHZ;Hotel 3;30 vagas;R$ 800;1 estrela
REC;Hotel 5;30 vagas;R$ 500;4 estrelas
POA;Hotel 5;20 vagas;R$ 600;4 estrelas
GOI;Hotel 5;50 vagas;R$ 800;3 estrelas
RIO;Hotel 3;40 vagas;R$ 600;3 estrelas
BHZ;Hotel 3;10 vagas;R$ 500;3 estrelas
POA;Hotel 4;10 vagas;R$ 1000;5 estrelas
BHZ;Hotel 5;40 vagas;R$ 1000;4 estrelas
FLN;Hotel 5;40 vagas;R$ 1000;1 estrela
SAO;Hotel 5;40 vagas;R$ 600;4 estrelas
CUR;Hotel 5;40 vagas;R$ 600;4 estrelas
BSB;Hotel 5;20 vagas;R$ 600;5 estrelas
REC;Hotel 5;40 vagas;R$ 700;4 estrelas
SAO;Hotel 2;10 vagas;R$ 500;3 estrelas
RIO;Hotel 5;30 vagas;R$ 700;2 estrelas
POA;Hotel 4;40 vagas;R$ 500;2 estrelas
CUR;Hotel 3;30 vagas;R$ 600;3 estrelas
FLN;Hotel 3;40 vagas;R$ 800;2 estrelas
BSB;Hotel 3;10 vagas;R$ 700;2 estrelas
RIO;Hotel 5;20 vagas;R$ 700;5 estrelas
RIO;Hotel 4;40 vagas;R$ 500;1 estrela
GOI;Hotel 1;10 vagas;R$ 700;1 estrela
GOI;Hotel 5;10 vagas;R$ 500;4 estrelas
CUR;Hotel 3;30 vagas;R$ 600;4 estrelas
GOI;Hotel 1;30 vagas;R$ 800;4 estrelas
FLN;Hotel 5;50 vagas;R$ 700;3 estrelas
GOI;Hotel 4;50 vagas;R$ 1000;5 estrelas
POA;Hotel 2;20 vagas;R$ 700;4 estrelas
PMW;Hotel 2;20 vagas;R$ 600;4 estrelas
FLN;Hotel 3;40 vagas;R$ 500;3 estrelas
FLN;Hotel 2;10 vagas;R$ 700;3 estrelas
BHZ;Hotel 2;20 vagas;R$ 500;3 estrelas
BSB;Hotel 3;10 vagas;R$ 1000;5 estrelas
FLN;Hotel 4;40 vagas;R$ 1000;5 estrelas
POA;Hotel 1;20 vagas;R$ 700;5 estrelas
PMW;Hotel 3;40 vagas;R$ 700;1 estrela
POA;Hotel 5;30 vagas;R$ 1000;4 estrelas
GOI;Hotel 4;20 vagas;R$ 1000;2 estrelas
BSB;Hotel 1;20 vagas;R$ 500;5 estrelas
POA;Hotel 1;20 vagas;R$ 700;5 estrelas
GOI;Hotel 1;10 vagas;R$ 600;5 estrelas
GOI;Hotel 4;20 vagas;R$ 800;3 estrelas
RIO;Hotel 3;30 vagas;R$ 800;2 estrelas
SAO;Hotel 4;10 vagas;R$ 800;4 estrelas
RIO;Hotel 1;40 vagas;R$ 600;4 estrelas
SAO;Hotel 4;40 vagas;R$ 700;4 estrelas
GOI;Hotel 1;20 vagas;R$ 1000;4 estrelas
SAO;Hotel 4;20 vagas;R$ 1000;5 estrelas
BHZ;Hotel 4;50 vagas;R$ 700;2 estrelas
GOI;Hotel 2;50 vagas;R$ 1000;3 estrelas
PMW;Hotel 3;50 vagas;R$ 800;2 estrelas
GOI;Hotel 1;10 vagas;R$ 600;1 estrela
PMW;Hotel 1;20 vagas;R$ 1000;2 estrelas
BHZ;Hotel 5;40 vagas;R$ 700;3 estrelas
GOI;Hotel 2;50 vagas;R$ 700;3 estrelas
GOI;Hotel 2;20 vagas;R$ 700;1 estrela
PMW;Hotel 5;40 vagas;R$ 700;5 estrelas
SAO;Hotel 4;20 vagas;R$ 500;1 estrela
FLN;Hotel 3;50 vagas;R$ 800;5 estrelas
PMW;Hotel 3;40 vagas;R$ 600;3 estrelas
SAO;Hotel 3;40 vagas;R$ 700;3 estrelas
RIO;Hotel 2;20 vagas;R$ 700;3 estrelas
CUR;Hotel 2;20 vagas;R$ 1000;1 estrela
BSB;Hotel 1;20 vagas;R$ 800;3 estrelas
FLN;Hotel 5;10 vagas;R$ 1000;3 estrelas
PMW;Hotel 2;50 vagas;R$ 800;4 estrelas
REC;Hotel 2;20 vagas;R$ 500;4 estrelas
BHZ;Hotel 2;20 vagas;R$ 500;1 estrela
REC;Hotel 1;50 vagas;R$ 800;1 estrela
PMW;Hotel 3;10 vagas;R$ 700;3 estrelas
POA;Hotel 2;10 vagas;R$ 1000;3 estrelas
BHZ;Hotel 3;30 vagas;R$ 700;1 estrela
SAO;Hotel 5;10 vagas;R$ 600;2 estrelas
PMW;Hotel 1;20 vagas;R$ 800;5 estrelas
POA;Hotel 5;20 vagas;R$ 700;1 estrela
GOI;Hotel 3;10 vagas;R$ 500;1 estrela
BSB;Hotel 4;30 vagas;R$ 800;5 estrelas
FLN;Hotel 3;20 vagas;R$ 800;3 estrelas
POA;Hotel 5;10 vagas;R$ 1000;2 estrelas
BHZ;Hotel 2;40 vagas;R$ 700;5 estrelas
BSB;Hotel 3;20 vagas;R$ 700;1 estrela
RIO;Hotel 1;20 vagas;R$ 500;2 estrelas
FLN;Hotel 3;10 vagas;R$ 500;2 estrelas
POA;Hotel 1;20 vagas;R$ 1000;4 estrelas
PMW;Hotel 4;40 vagas;R$ 600;2 estrelas
GOI;Hotel 1;40 vagas;R$ 500;2 estrelas
POA;Hotel 4;20 vagas;R$ 800;4 estrelas
RIO;Hotel 4;20 vagas;R$ 800;1 estrela
POA;Hotel 3;30 vagas;R$ 1000;3 estrelas
SAO;Hotel 3;30 vagas;R$ 1000;3 estrelas
RIO;Hotel 5;10 vagas;R$ 800;2 estrelas
SAO;Hotel 1;20 vagas;R$ 800;1 estrela
POA;Hotel 1;40 vagas;R$ 800;3 estrelas
